blind_id,system,scenario,take,original_filename
P01,RVC_Audit8_fixed,S1,2,S1_RVC_take02.wav
P02,RVC_Audit8_fixed,S1,3,S1_RVC_take03.wav
P03,RVC_Audit8_fixed,S2,1,S2_RVC_take01.wav
P04,RVC_Audit8_fixed,S1,1,S1_RVC_take01.wav
P05,SeedVC_fixed,S2,3,S2_SEEDVC_take03.wav
P06,RVC_Audit8_fixed,S2,3,S2_RVC_take03.wav
P07,SeedVC_fixed,S1,3,S1_SEEDVC_take03.wav
P08,SeedVC_fixed,S1,2,S1_SEEDVC_take02.wav
P09,SeedVC_fixed,S1,1,S1_SEEDVC_take01.wav
P10,RVC_Audit8_fixed,S2,2,S2_RVC_take02.wav
P11,SeedVC_fixed,S2,2,S2_SEEDVC_take02.wav
P12,SeedVC_fixed,S2,1,S2_SEEDVC_take01.wav
P13,XTTS_fixed,S1,1,S1_XTTS_run01.wav
P14,XTTS_fixed,S2,3,S2_XTTS_run03.wav
P15,XTTS_fixed,S1,3,S1_XTTS_run03.wav
P16,XTTS_fixed,S1,2,S1_XTTS_run02.wav
P17,XTTS_fixed,S2,2,S2_XTTS_run02.wav
P18,XTTS_fixed,S2,1,S2_XTTS_run01.wav
