source_recording,system,scenario,take,wer_before,wer_after,cer_before,cer_after,delta_wer_vs_source_before,delta_wer_vs_source_after,campplus_to_target_before,campplus_to_target_after,delta_sim_vs_source_before,delta_sim_vs_source_after,rtf_before,rtf_after,failure_before,failure_after,secondary_failures_before,secondary_failures_after,wer_source_before,wer_source_after,campplus_source_before,campplus_source_after
S1_executive_take01.wav,RVC_Audit8_fixed,S1,1,0.2727,0.3636,0.0816,0.1429,0.1818,0.2727,0.8842,0.8578,0.0489,-0.004,0.4608,0.3943,none,missing linguistic content,,,0.0909,0.0909,0.8353,0.8618
S2_customer_take01.wav,RVC_Audit8_fixed,S2,1,0.0909,0.1364,0.0458,0.0534,0.0455,0.0909,0.8642,0.8668,0.0222,-0.0002,0.3706,0.3679,none,inserted linguistic content,,,0.0455,0.0455,0.842,0.8671
S1_executive_take01.wav,SeedVC_fixed,S1,1,0.3636,0.3636,0.2245,0.1973,0.2727,0.2727,0.9099,0.9207,0.0746,0.0588,3.8273,3.82,missing linguistic content,missing linguistic content,inserted linguistic content,inserted linguistic content,0.0909,0.0909,0.8353,0.8618
S2_customer_take01.wav,SeedVC_fixed,S2,1,0.1818,0.1818,0.084,0.0916,0.1364,0.1364,0.9261,0.8873,0.0841,0.0202,4.4609,4.7295,missing linguistic content,missing linguistic content,inserted linguistic content,inserted linguistic content,0.0455,0.0455,0.842,0.8671
S1_executive_take02.wav,RVC_Audit8_fixed,S1,2,0.2273,0.2727,0.1156,0.1361,0.0455,0.2273,0.9292,0.9404,0.0405,0.1234,0.415,0.4007,missing linguistic content,missing linguistic content,inserted linguistic content,inserted linguistic content,0.1818,0.0455,0.8887,0.817
S2_customer_take02.wav,RVC_Audit8_fixed,S2,2,0.1364,0.1364,0.0534,0.0534,0.0455,0.0455,0.8751,0.8961,0.0851,0.0181,0.362,0.3591,none,none,,,0.0909,0.0909,0.7901,0.878
S1_executive_take02.wav,SeedVC_fixed,S1,2,0.4091,0.3636,0.1973,0.2041,0.2273,0.3182,0.9046,0.9037,0.0159,0.0866,4.894,4.6146,inserted linguistic content,missing linguistic content,,inserted linguistic content,0.1818,0.0455,0.8887,0.817
S2_customer_take02.wav,SeedVC_fixed,S2,2,0.1818,0.3182,0.0992,0.1603,0.0909,0.2273,0.9374,0.9169,0.1473,0.039,4.454,4.4332,inserted linguistic content,inserted linguistic content,,,0.0909,0.0909,0.7901,0.878
S1_executive_take03.wav,RVC_Audit8_fixed,S1,3,0.2273,0.2273,0.0952,0.0884,0.1818,0.1818,0.9466,0.9101,0.0906,0.1027,0.3894,0.3835,inserted linguistic content,inserted linguistic content,,,0.0455,0.0455,0.856,0.8074
S2_customer_take03.wav,RVC_Audit8_fixed,S2,3,0.0455,0.0909,0.0229,0.0458,0.0,0.0455,0.823,0.837,-0.0009,0.0296,0.3012,0.2977,none,none,,,0.0455,0.0455,0.8239,0.8074
S1_executive_take03.wav,SeedVC_fixed,S1,3,0.3182,0.2727,0.1293,0.1224,0.2727,0.2273,0.9159,0.9273,0.0599,0.1199,4.3763,4.4802,missing linguistic content,missing linguistic content,,inserted linguistic content,0.0455,0.0455,0.856,0.8074
S2_customer_take03.wav,SeedVC_fixed,S2,3,0.7273,0.1364,0.4504,0.1298,0.6818,0.0909,0.9113,0.9144,0.0875,0.107,5.4494,4.3623,repeated word/phrase,inserted linguistic content,missing linguistic content; inserted linguistic content; abnormal duration,,0.0455,0.0455,0.8239,0.8074
