file,system,scenario,take_or_run,processing_time_s,source_duration_s,output_duration_s,rtf,model_loaded,preprocessing_included
S1_XTTS_run01.wav,XTTS-v2,S1,1,3.4848,,8.5253,0.4088,True,not_applicable
S1_XTTS_run02.wav,XTTS-v2,S1,2,11.2571,,4.7641,2.3629,True,not_applicable
S1_XTTS_run03.wav,XTTS-v2,S1,3,3.4159,,8.1486,0.4192,True,not_applicable
S2_XTTS_run01.wav,XTTS-v2,S2,1,3.2524,,7.4893,0.4343,True,not_applicable
S2_XTTS_run02.wav,XTTS-v2,S2,2,3.4577,,8.7033,0.3973,True,not_applicable
S2_XTTS_run03.wav,XTTS-v2,S2,3,2.8662,,7.0418,0.407,True,not_applicable
S1_RVC_take01.wav,RVC v2,S1,1,5.76,12.5,12.48,0.4608,True,True
S1_RVC_take02.wav,RVC v2,S1,2,3.32,8.0,7.98,0.415,True,True
S1_RVC_take03.wav,RVC v2,S1,3,3.31,8.5,8.48,0.3894,True,True
S2_RVC_take01.wav,RVC v2,S2,1,3.336,9.0,8.98,0.3706,True,True
S2_RVC_take02.wav,RVC v2,S2,2,3.439,9.5,9.48,0.362,True,True
S2_RVC_take03.wav,RVC v2,S2,3,2.56,8.5,8.48,0.3012,True,True
S1_SEEDVC_take01.wav,Seed-VC,S1,1,47.841,12.5,12.109,3.8273,True,True
S1_SEEDVC_take02.wav,Seed-VC,S1,2,39.152,8.0,7.93,4.894,True,True
S1_SEEDVC_take03.wav,Seed-VC,S1,3,37.199,8.5,8.231,4.3763,True,True
S2_SEEDVC_take01.wav,Seed-VC,S2,1,40.148,9.0,8.916,4.4609,True,True
S2_SEEDVC_take02.wav,Seed-VC,S2,2,42.313,9.5,9.729,4.454,True,True
S2_SEEDVC_take03.wav,Seed-VC,S2,3,46.32,8.5,11.134,5.4494,True,True
